Date,neg,pos,Patients,adm,dd
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,1,1,0
2020-02-06,0,0,2,3,0
2020-02-07,0,0,3,2,0
2020-02-08,0,0,3,0,0
2020-02-09,0,0,3,0,0
2020-02-10,0,0,3,0,0
2020-02-11,0,0,5,2,0
2020-02-12,0,0,5,0,0
2020-02-13,0,0,5,0,0
2020-02-14,0,0,6,1,0
2020-02-15,0,0,6,0,0
2020-02-16,0,0,6,0,0
2020-02-17,0,0,8,3,0
2020-02-18,0,0,10,2,0
2020-02-19,0,0,11,1,0
2020-02-20,0,0,14,3,0
2020-02-21,0,0,17,4,0
2020-02-22,0,0,17,0,0
2020-02-23,0,0,17,0,0
2020-02-24,0,0,20,5,0
2020-02-25,0,0,24,5,0
2020-02-26,0,0,26,4,0
2020-02-27,0,0,29,3,0
2020-02-28,0,0,31,2,0
2020-02-29,0,0,32,1,0
2020-03-01,0,0,32,0,0
2020-03-02,0,0,31,6,3
2020-03-03,0,0,33,4,1
2020-03-04,0,0,32,3,3
2020-03-05,1,0,32,4,3
2020-03-06,0,0,35,4,0
2020-03-07,0,0,33,0,2
2020-03-08,0,0,33,0,0
2020-03-09,0,0,33,5,4
2020-03-10,0,0,33,3,1
2020-03-11,0,0,32,5,0
2020-03-12,0,1,33,3,2
2020-03-13,0,0,30,3,3
2020-03-14,0,0,30,0,0
2020-03-15,0,0,30,0,0
2020-03-16,2,0,28,0,2
2020-03-17,0,0,29,1,0
2020-03-18,0,0,27,0,2
2020-03-19,0,2,29,3,0
2020-03-20,6,1,27,0,3
2020-03-21,1,0,30,3,0
2020-03-22,0,0,30,0,0
2020-03-23,0,2,28,0,2
2020-03-24,2,2,31,3,0
2020-03-25,2,0,25,0,5
2020-03-26,2,0,22,0,2
2020-03-27,2,0,22,2,0
2020-03-28,0,0,22,0,0
2020-03-29,0,1,22,0,0
2020-03-30,3,2,21,3,2
2020-03-31,0,0,24,5,3
2020-04-01,1,0,25,2,3
2020-04-02,0,0,25,1,2
2020-04-03,0,0,26,2,2
2020-04-04,0,0,25,0,0
2020-04-05,0,0,25,0,0
2020-04-06,0,0,25,0,1
2020-04-07,0,0,26,1,4
2020-04-08,0,0,27,2,2
2020-04-09,0,0,28,1,0
2020-04-10,0,0,30,2,0
2020-04-11,0,0,30,0,0
2020-04-12,0,0,30,0,0
2020-04-13,0,0,30,0,0
2020-04-14,0,0,32,2,0
2020-04-15,0,0,32,2,3
2020-04-16,0,0,32,0,3
2020-04-17,0,0,32,2,2
2020-04-18,0,0,31,0,1
2020-04-19,0,0,31,0,0
2020-04-20,0,0,30,0,2
2020-04-21,0,0,29,2,5
2020-04-22,0,0,29,1,2
2020-04-23,0,0,28,1,2
2020-04-24,1,0,27,0,1
2020-04-25,0,0,26,0,1
2020-04-26,0,0,28,2,0
2020-04-27,0,0,26,0,3
2020-04-28,1,0,23,0,4
2020-04-29,0,0,24,0,0
2020-04-30,0,0,23,1,4
2020-05-01,0,0,22,0,2
2020-05-02,0,0,22,0,0
2020-05-03,0,0,22,0,0
2020-05-04,1,0,20,0,2
2020-05-05,0,0,18,0,4
2020-05-06,0,0,17,0,1
2020-05-07,0,0,14,0,4
2020-05-08,1,0,14,0,0
2020-05-09,0,0,14,0,0
2020-05-10,0,0,14,0,0
2020-05-11,0,0,12,0,3
2020-05-12,0,0,11,0,2
2020-05-13,3,0,10,0,1
2020-05-14,0,0,8,0,3
2020-05-15,0,1,7,0,1
2020-05-16,0,0,7,0,0
2020-05-17,0,0,7,0,0
2020-05-18,1,2,6,0,2
2020-05-19,0,0,4,0,3
2020-05-20,0,0,2,0,5
2020-05-21,0,0,2,0,0
2020-05-22,0,0,1,0,1
2020-05-23,0,0,1,0,0
2020-05-24,0,0,1,0,0
2020-05-25,0,0,0,0,2
2020-05-26,0,0,0,0,0
2020-05-27,0,0,0,0,0
2020-05-28,0,0,0,0,0
2020-05-29,0,0,0,0,0
2020-05-30,0,0,0,0,0
2020-05-31,0,0,0,0,0
2020-06-01,0,0,0,0,0
2020-06-02,0,0,0,0,0
2020-06-03,0,0,0,0,0
2020-06-04,0,0,0,0,0
2020-06-05,0,0,0,0,0
2020-06-06,0,0,0,0,0
2020-06-07,0,0,0,0,0
2020-06-08,0,0,0,0,0
2020-06-09,0,0,0,0,0
2020-06-10,0,0,0,0,0
2020-06-11,0,0,0,0,0
2020-06-12,0,0,0,0,0
2020-06-13,0,0,0,0,0
2020-06-14,0,0,0,0,0
2020-06-15,0,0,0,0,0
2020-06-16,0,0,0,0,0
2020-06-17,0,0,0,0,0
2020-06-18,0,0,0,0,0
2020-06-19,0,0,0,0,0
2020-06-20,0,0,0,0,0
2020-06-21,0,0,0,0,0
2020-06-22,0,0,0,0,0
