Date,neg,pos,untested,Patients
2020-01-01,0,0,158,158
2020-01-02,0,0,159,159
2020-01-03,0,0,160,160
2020-01-04,0,0,161,161
2020-01-05,0,0,161,161
2020-01-06,0,0,161,161
2020-01-07,0,0,164,164
2020-01-08,0,0,165,165
2020-01-09,0,0,169,169
2020-01-10,0,0,173,173
2020-01-11,0,0,173,173
2020-01-12,0,0,173,173
2020-01-13,0,0,174,174
2020-01-14,0,0,176,176
2020-01-15,0,0,179,179
2020-01-16,0,0,181,181
2020-01-17,0,0,182,182
2020-01-18,0,0,182,182
2020-01-19,0,0,182,182
2020-01-20,0,0,186,186
2020-01-21,0,0,193,193
2020-01-22,0,0,198,198
2020-01-23,0,0,201,201
2020-01-24,0,0,208,208
2020-01-25,0,0,208,208
2020-01-26,0,0,208,208
2020-01-27,0,0,213,213
2020-01-28,0,0,216,216
2020-01-29,0,0,218,218
2020-01-30,0,0,222,222
2020-01-31,0,0,226,226
2020-02-01,0,0,226,226
2020-02-02,0,0,226,226
2020-02-03,0,0,230,230
2020-02-04,0,0,234,234
2020-02-05,0,0,240,240
2020-02-06,0,0,246,246
2020-02-07,0,0,249,249
2020-02-08,0,0,250,250
2020-02-09,0,0,250,250
2020-02-10,0,0,258,258
2020-02-11,0,0,263,263
2020-02-12,0,0,267,267
2020-02-13,0,0,272,272
2020-02-14,0,0,278,278
2020-02-15,0,0,278,278
2020-02-16,0,0,278,278
2020-02-17,0,0,285,285
2020-02-18,0,0,290,290
2020-02-19,0,0,296,296
2020-02-20,0,0,303,303
2020-02-21,0,0,307,307
2020-02-22,0,0,307,307
2020-02-23,0,0,307,307
2020-02-24,0,0,317,317
2020-02-25,0,0,330,330
2020-02-26,0,0,337,337
2020-02-27,0,0,346,346
2020-02-28,0,0,351,351
2020-02-29,0,0,352,352
2020-03-01,0,0,349,349
2020-03-02,0,0,349,349
2020-03-03,0,0,348,348
2020-03-04,0,0,344,344
2020-03-05,1,0,345,346
2020-03-06,0,0,347,347
2020-03-07,1,0,344,345
2020-03-08,0,0,344,344
2020-03-09,0,0,344,344
2020-03-10,0,0,345,345
2020-03-11,0,0,351,351
2020-03-12,0,1,349,350
2020-03-13,2,0,343,345
2020-03-14,0,0,345,345
2020-03-15,3,0,341,344
2020-03-16,3,0,332,335
2020-03-17,1,0,333,334
2020-03-18,0,1,335,336
2020-03-19,1,3,329,333
2020-03-20,6,1,321,328
2020-03-21,1,0,328,329
2020-03-22,1,1,326,328
2020-03-23,2,5,316,323
2020-03-24,7,9,306,322
2020-03-25,13,8,297,318
2020-03-26,5,1,306,312
2020-03-27,6,12,289,307
2020-03-28,2,7,294,303
2020-03-29,0,1,302,303
2020-03-30,35,17,248,300
2020-03-31,27,12,260,299
2020-04-01,9,3,280,292
2020-04-02,1,1,283,285
2020-04-03,7,8,267,282
2020-04-04,4,1,276,281
2020-04-05,0,1,280,281
2020-04-06,10,3,264,277
2020-04-07,28,5,242,275
2020-04-08,25,9,236,270
2020-04-09,32,7,231,270
2020-04-10,5,5,259,269
2020-04-11,4,2,263,269
2020-04-12,1,1,266,268
2020-04-13,1,4,261,266
2020-04-14,4,1,261,266
2020-04-15,12,0,254,266
2020-04-16,9,3,253,265
2020-04-17,7,1,251,259
2020-04-18,1,1,256,258
2020-04-19,2,1,255,258
2020-04-20,8,1,249,258
2020-04-21,2,1,256,259
2020-04-22,5,0,253,258
2020-04-23,3,1,252,256
2020-04-24,3,0,252,255
2020-04-25,1,1,253,255
2020-04-26,0,0,254,254
2020-04-27,2,1,251,254
2020-04-28,6,3,245,254
2020-04-29,8,1,245,254
2020-04-30,1,0,252,253
2020-05-01,0,0,252,252
2020-05-02,0,0,252,252
2020-05-03,0,0,251,251
2020-05-04,4,0,241,245
2020-05-05,2,1,239,242
2020-05-06,1,0,238,239
2020-05-07,1,0,233,234
2020-05-08,1,0,232,233
2020-05-09,1,0,232,233
2020-05-10,0,0,232,232
2020-05-11,2,0,226,228
2020-05-12,3,0,222,225
2020-05-13,3,0,216,219
2020-05-14,0,0,213,213
2020-05-15,2,0,210,212
2020-05-16,0,0,212,212
2020-05-17,0,0,212,212
2020-05-18,1,2,207,210
2020-05-19,1,0,205,206
2020-05-20,1,1,197,199
2020-05-21,1,0,197,198
2020-05-22,2,0,192,194
2020-05-23,0,0,194,194
2020-05-24,0,0,194,194
2020-05-25,3,0,190,193
2020-05-26,3,0,187,190
2020-05-27,0,0,190,190
2020-05-28,2,0,184,186
2020-05-29,0,0,183,183
2020-05-30,0,0,183,183
2020-05-31,0,0,183,183
2020-06-01,0,0,183,183
2020-06-02,2,0,175,177
2020-06-03,1,0,172,173
2020-06-04,1,0,169,170
2020-06-05,0,0,169,169
2020-06-06,0,0,169,169
2020-06-07,0,0,169,169
2020-06-08,2,0,165,167
2020-06-09,2,0,163,165
2020-06-10,2,0,161,163
2020-06-11,2,0,161,163
2020-06-12,1,1,160,162
2020-06-13,0,0,162,162
2020-06-14,0,0,161,161
2020-06-15,4,0,156,160
2020-06-16,0,0,158,158
2020-06-17,2,1,153,156
2020-06-18,0,0,152,152
2020-06-19,0,0,151,151
2020-06-20,0,0,150,150
2020-06-21,0,0,150,150
2020-06-22,1,0,149,150
