Date,relativeDate
01/02/2020,-39
02/02/2020,-38
03/02/2020,-37
04/02/2020,-36
05/02/2020,-35
06/02/2020,-34
07/02/2020,-33
08/02/2020,-32
09/02/2020,-31
10/02/2020,-30
11/02/2020,-29
12/02/2020,-28
13/02/2020,-27
14/02/2020,-26
15/02/2020,-25
16/02/2020,-24
17/02/2020,-23
18/02/2020,-22
19/02/2020,-21
20/02/2020,-20
21/02/2020,-19
22/02/2020,-18
23/02/2020,-17
24/02/2020,-16
25/02/2020,-15
26/02/2020,-14
27/02/2020,-13
28/02/2020,-12
29/02/2020,-11
01/03/2020,-10
02/03/2020,-9
03/03/2020,-8
04/03/2020,-7
05/03/2020,-6
06/03/2020,-5
07/03/2020,-4
08/03/2020,-3
09/03/2020,-2
10/03/2020,-1
11/03/2020,0
12/03/2020,1
13/03/2020,2
14/03/2020,3
15/03/2020,4
16/03/2020,5
17/03/2020,6
18/03/2020,7
19/03/2020,8
20/03/2020,9
21/03/2020,10
22/03/2020,11
23/03/2020,12
24/03/2020,13
25/03/2020,14
26/03/2020,15
27/03/2020,16
28/03/2020,17
29/03/2020,18
30/03/2020,19
31/03/2020,20
01/04/2020,21
02/04/2020,22
03/04/2020,23
04/04/2020,24
05/04/2020,25
06/04/2020,26
07/04/2020,27
08/04/2020,28
09/04/2020,29
10/04/2020,30
11/04/2020,31
12/04/2020,32
13/04/2020,33
14/04/2020,34
15/04/2020,35
16/04/2020,36
17/04/2020,37
18/04/2020,38
19/04/2020,39
20/04/2020,40
21/04/2020,41
22/04/2020,42
23/04/2020,43
24/04/2020,44
25/04/2020,45
26/04/2020,46
27/04/2020,47
28/04/2020,48
29/04/2020,49
30/04/2020,50
01/05/2020,51
