scenario_number,scenario_name,beta1,beta2,t_init,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_inflect
0,baseline,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
1,low_alpha,,,,0.25,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
2,high_alpha,,,,0.30303,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
3,low_gamma,,,,0.294117647,0.3333,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
4,high_gamma,,,,0.294117647,1.25,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
5,low_delta,,,,0.294117647,0.434782609,0.10989,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
6,high_delta,,,,0.294117647,0.434782609,0.41667,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
7,low_epsilon,,,,0.294117647,0.434782609,0.142857143,0.18,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
8,high_epsilon,,,,0.294117647,0.434782609,0.142857143,2.26,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
9,low_psi,,,,0.294117647,0.434782609,0.142857143,0.63,0.62,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
10,high_psi,,,,0.294117647,0.434782609,0.142857143,0.63,0.76,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
11,low_kappa1,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.1,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
12,high_kappa1,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,1.27,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
13,low_kappa23,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,0.5,0.5,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
14,high_kappa23,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,2,2,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
15,low_omega,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.016667,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
16,high_omega,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,10,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-19
17,low_Z,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0,0.25,0.25,0.65,0.65,0.2,0.99,0.6,1,226,1,2020-03-19
18,high_Z,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.5,0.85,0.85,0.9,0.9,0.5,0.99,0.6,1,226,1,2020-03-19
19,level_Z,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.6,0.6,0.6,0.6,0.6,0.6,0.99,0.6,1,226,1,2020-03-19
20,low_v,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.96,0.6,1,226,1,2020-03-19
21,high_v,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.999,0.6,1,226,1,2020-03-19
22,low_phi,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.5,1,226,1,2020-03-19
23,high_phi,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.7,1,226,1,2020-03-19
24,low_mu,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,0.5,226,1,2020-03-19
25,high_mu,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,2,226,1,2020-03-19
26,med_Einit,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3,2020-03-19
27,high_Einit,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,10,2020-03-19
28,med_tinflect,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-17
29,early_tinflect,,,,0.294117647,0.434782609,0.142857143,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1,2020-03-12
